客戶,性別,年齡,國家,購買金額,註冊日期,會員等級
客戶_1,男,20,美國,,2020-01-01,金卡
客戶_2,女,21,台灣,103.0,2020-01-02,普通
客戶_3,男,22,日本,106.0,2020-01-03,白金
客戶_4,女,23,加拿大,109.0,2020-01-04,金卡
客戶_5,男,24,英國,112.0,2020-01-05,普通
客戶_6,女,25,美國,115.0,2020-01-06,白金
客戶_7,男,26,台灣,118.0,2020-01-07,金卡
客戶_8,女,27,日本,121.0,2020-01-08,普通
客戶_9,男,28,加拿大,124.0,2020-01-09,白金
客戶_10,女,29,英國,127.0,2020-01-10,金卡
客戶_11,男,30,美國,,2020-01-11,普通
客戶_12,女,31,台灣,133.0,2020-01-12,白金
客戶_13,男,32,日本,136.0,2020-01-13,金卡
客戶_14,女,33,加拿大,139.0,2020-01-14,普通
客戶_15,男,34,英國,142.0,2020-01-15,白金
客戶_16,女,35,美國,145.0,2020-01-16,金卡
客戶_17,男,36,台灣,148.0,2020-01-17,普通
客戶_18,女,37,日本,151.0,2020-01-18,白金
客戶_19,男,38,加拿大,154.0,2020-01-19,金卡
客戶_20,女,39,英國,157.0,2020-01-20,普通
客戶_21,男,40,美國,,2020-01-21,白金
客戶_22,女,41,台灣,163.0,2020-01-22,金卡
客戶_23,男,42,日本,166.0,2020-01-23,普通
客戶_24,女,43,加拿大,169.0,2020-01-24,白金
客戶_25,男,44,英國,172.0,2020-01-25,金卡
客戶_26,女,45,美國,175.0,2020-01-26,普通
客戶_27,男,46,台灣,178.0,2020-01-27,白金
客戶_28,女,47,日本,181.0,2020-01-28,金卡
客戶_29,男,48,加拿大,184.0,2020-01-29,普通
客戶_30,女,49,英國,187.0,2020-01-30,白金
客戶_31,男,50,美國,,2020-01-31,金卡
客戶_32,女,51,台灣,193.0,2020-02-01,普通
客戶_33,男,52,日本,196.0,2020-02-02,白金
客戶_34,女,53,加拿大,199.0,2020-02-03,金卡
客戶_35,男,54,英國,202.0,2020-02-04,普通
客戶_36,女,55,美國,205.0,2020-02-05,白金
客戶_37,男,56,台灣,208.0,2020-02-06,金卡
客戶_38,女,57,日本,211.0,2020-02-07,普通
客戶_39,男,58,加拿大,214.0,2020-02-08,白金
客戶_40,女,59,英國,217.0,2020-02-09,金卡
客戶_41,男,60,美國,,2020-02-10,普通
客戶_42,女,61,台灣,223.0,2020-02-11,白金
客戶_43,男,62,日本,226.0,2020-02-12,金卡
客戶_44,女,63,加拿大,229.0,2020-02-13,普通
客戶_45,男,64,英國,232.0,2020-02-14,白金
客戶_46,女,65,美國,235.0,2020-02-15,金卡
客戶_47,男,66,台灣,238.0,2020-02-16,普通
客戶_48,女,67,日本,241.0,2020-02-17,白金
客戶_49,男,68,加拿大,244.0,2020-02-18,金卡
客戶_50,女,69,英國,247.0,2020-02-19,普通
客戶_51,男,20,美國,,2020-02-20,白金
客戶_52,女,21,台灣,253.0,2020-02-21,金卡
客戶_53,男,22,日本,256.0,2020-02-22,普通
客戶_54,女,23,加拿大,259.0,2020-02-23,白金
客戶_55,男,24,英國,262.0,2020-02-24,金卡
客戶_56,女,25,美國,265.0,2020-02-25,普通
客戶_57,男,26,台灣,268.0,2020-02-26,白金
客戶_58,女,27,日本,271.0,2020-02-27,金卡
客戶_59,男,28,加拿大,274.0,2020-02-28,普通
客戶_60,女,29,英國,277.0,2020-02-29,白金
客戶_61,男,30,美國,,2020-03-01,金卡
客戶_62,女,31,台灣,283.0,2020-03-02,普通
客戶_63,男,32,日本,286.0,2020-03-03,白金
客戶_64,女,33,加拿大,289.0,2020-03-04,金卡
客戶_65,男,34,英國,292.0,2020-03-05,普通
客戶_66,女,35,美國,295.0,2020-03-06,白金
客戶_67,男,36,台灣,298.0,2020-03-07,金卡
客戶_68,女,37,日本,301.0,2020-03-08,普通
客戶_69,男,38,加拿大,304.0,2020-03-09,白金
客戶_70,女,39,英國,307.0,2020-03-10,金卡
客戶_71,男,40,美國,,2020-03-11,普通
客戶_72,女,41,台灣,313.0,2020-03-12,白金
客戶_73,男,42,日本,316.0,2020-03-13,金卡
客戶_74,女,43,加拿大,319.0,2020-03-14,普通
客戶_75,男,44,英國,322.0,2020-03-15,白金
客戶_76,女,45,美國,325.0,2020-03-16,金卡
客戶_77,男,46,台灣,328.0,2020-03-17,普通
客戶_78,女,47,日本,331.0,2020-03-18,白金
客戶_79,男,48,加拿大,334.0,2020-03-19,金卡
客戶_80,女,49,英國,337.0,2020-03-20,普通
客戶_81,男,50,美國,,2020-03-21,白金
客戶_82,女,51,台灣,343.0,2020-03-22,金卡
客戶_83,男,52,日本,346.0,2020-03-23,普通
客戶_84,女,53,加拿大,349.0,2020-03-24,白金
客戶_85,男,54,英國,352.0,2020-03-25,金卡
客戶_86,女,55,美國,355.0,2020-03-26,普通
客戶_87,男,56,台灣,358.0,2020-03-27,白金
客戶_88,女,57,日本,361.0,2020-03-28,金卡
客戶_89,男,58,加拿大,364.0,2020-03-29,普通
客戶_90,女,59,英國,367.0,2020-03-30,白金
客戶_91,男,60,美國,,2020-03-31,金卡
客戶_92,女,61,台灣,373.0,2020-04-01,普通
客戶_93,男,62,日本,376.0,2020-04-02,白金
客戶_94,女,63,加拿大,379.0,2020-04-03,金卡
客戶_95,男,64,英國,382.0,2020-04-04,普通
客戶_96,女,65,美國,385.0,2020-04-05,白金
客戶_97,男,66,台灣,388.0,2020-04-06,金卡
客戶_98,女,67,日本,391.0,2020-04-07,普通
客戶_99,男,68,加拿大,394.0,2020-04-08,白金
客戶_100,女,69,英國,397.0,2020-04-09,金卡
客戶_101,男,20,美國,,2020-04-10,普通
客戶_102,女,21,台灣,403.0,2020-04-11,白金
客戶_103,男,22,日本,406.0,2020-04-12,金卡
客戶_104,女,23,加拿大,409.0,2020-04-13,普通
客戶_105,男,24,英國,412.0,2020-04-14,白金
客戶_106,女,25,美國,415.0,2020-04-15,金卡
客戶_107,男,26,台灣,418.0,2020-04-16,普通
客戶_108,女,27,日本,421.0,2020-04-17,白金
客戶_109,男,28,加拿大,424.0,2020-04-18,金卡
客戶_110,女,29,英國,427.0,2020-04-19,普通
客戶_111,男,30,美國,,2020-04-20,白金
客戶_112,女,31,台灣,433.0,2020-04-21,金卡
客戶_113,男,32,日本,436.0,2020-04-22,普通
客戶_114,女,33,加拿大,439.0,2020-04-23,白金
客戶_115,男,34,英國,442.0,2020-04-24,金卡
客戶_116,女,35,美國,445.0,2020-04-25,普通
客戶_117,男,36,台灣,448.0,2020-04-26,白金
客戶_118,女,37,日本,451.0,2020-04-27,金卡
客戶_119,男,38,加拿大,454.0,2020-04-28,普通
客戶_120,女,39,英國,457.0,2020-04-29,白金
客戶_121,男,40,美國,,2020-04-30,金卡
客戶_122,女,41,台灣,463.0,2020-05-01,普通
客戶_123,男,42,日本,466.0,2020-05-02,白金
客戶_124,女,43,加拿大,469.0,2020-05-03,金卡
客戶_125,男,44,英國,472.0,2020-05-04,普通
客戶_126,女,45,美國,475.0,2020-05-05,白金
客戶_127,男,46,台灣,478.0,2020-05-06,金卡
客戶_128,女,47,日本,481.0,2020-05-07,普通
客戶_129,男,48,加拿大,484.0,2020-05-08,白金
客戶_130,女,49,英國,487.0,2020-05-09,金卡
客戶_131,男,50,美國,,2020-05-10,普通
客戶_132,女,51,台灣,493.0,2020-05-11,白金
客戶_133,男,52,日本,496.0,2020-05-12,金卡
客戶_134,女,53,加拿大,499.0,2020-05-13,普通
客戶_135,男,54,英國,502.0,2020-05-14,白金
客戶_136,女,55,美國,505.0,2020-05-15,金卡
客戶_137,男,56,台灣,508.0,2020-05-16,普通
客戶_138,女,57,日本,511.0,2020-05-17,白金
客戶_139,男,58,加拿大,514.0,2020-05-18,金卡
客戶_140,女,59,英國,517.0,2020-05-19,普通
客戶_141,男,60,美國,,2020-05-20,白金
客戶_142,女,61,台灣,523.0,2020-05-21,金卡
客戶_143,男,62,日本,526.0,2020-05-22,普通
客戶_144,女,63,加拿大,529.0,2020-05-23,白金
客戶_145,男,64,英國,532.0,2020-05-24,金卡
客戶_146,女,65,美國,535.0,2020-05-25,普通
客戶_147,男,66,台灣,538.0,2020-05-26,白金
客戶_148,女,67,日本,541.0,2020-05-27,金卡
客戶_149,男,68,加拿大,544.0,2020-05-28,普通
客戶_150,女,69,英國,547.0,2020-05-29,白金
客戶_151,男,20,美國,,2020-05-30,金卡
客戶_152,女,21,台灣,553.0,2020-05-31,普通
客戶_153,男,22,日本,556.0,2020-06-01,白金
客戶_154,女,23,加拿大,559.0,2020-06-02,金卡
客戶_155,男,24,英國,562.0,2020-06-03,普通
客戶_156,女,25,美國,565.0,2020-06-04,白金
客戶_157,男,26,台灣,568.0,2020-06-05,金卡
客戶_158,女,27,日本,571.0,2020-06-06,普通
客戶_159,男,28,加拿大,574.0,2020-06-07,白金
客戶_160,女,29,英國,577.0,2020-06-08,金卡
客戶_161,男,30,美國,,2020-06-09,普通
客戶_162,女,31,台灣,583.0,2020-06-10,白金
客戶_163,男,32,日本,586.0,2020-06-11,金卡
客戶_164,女,33,加拿大,589.0,2020-06-12,普通
客戶_165,男,34,英國,592.0,2020-06-13,白金
客戶_166,女,35,美國,595.0,2020-06-14,金卡
客戶_167,男,36,台灣,598.0,2020-06-15,普通
客戶_168,女,37,日本,601.0,2020-06-16,白金
客戶_169,男,38,加拿大,604.0,2020-06-17,金卡
客戶_170,女,39,英國,607.0,2020-06-18,普通
客戶_171,男,40,美國,,2020-06-19,白金
客戶_172,女,41,台灣,613.0,2020-06-20,金卡
客戶_173,男,42,日本,616.0,2020-06-21,普通
客戶_174,女,43,加拿大,619.0,2020-06-22,白金
客戶_175,男,44,英國,622.0,2020-06-23,金卡
客戶_176,女,45,美國,625.0,2020-06-24,普通
客戶_177,男,46,台灣,628.0,2020-06-25,白金
客戶_178,女,47,日本,631.0,2020-06-26,金卡
客戶_179,男,48,加拿大,634.0,2020-06-27,普通
客戶_180,女,49,英國,637.0,2020-06-28,白金
客戶_181,男,50,美國,,2020-06-29,金卡
客戶_182,女,51,台灣,643.0,2020-06-30,普通
客戶_183,男,52,日本,646.0,2020-07-01,白金
客戶_184,女,53,加拿大,649.0,2020-07-02,金卡
客戶_185,男,54,英國,652.0,2020-07-03,普通
客戶_186,女,55,美國,655.0,2020-07-04,白金
客戶_187,男,56,台灣,658.0,2020-07-05,金卡
客戶_188,女,57,日本,661.0,2020-07-06,普通
客戶_189,男,58,加拿大,664.0,2020-07-07,白金
客戶_190,女,59,英國,667.0,2020-07-08,金卡
客戶_191,男,60,美國,,2020-07-09,普通
客戶_192,女,61,台灣,673.0,2020-07-10,白金
客戶_193,男,62,日本,676.0,2020-07-11,金卡
客戶_194,女,63,加拿大,679.0,2020-07-12,普通
客戶_195,男,64,英國,682.0,2020-07-13,白金
客戶_196,女,65,美國,685.0,2020-07-14,金卡
客戶_197,男,66,台灣,688.0,2020-07-15,普通
客戶_198,女,67,日本,691.0,2020-07-16,白金
客戶_199,男,68,加拿大,694.0,2020-07-17,金卡
客戶_200,女,69,英國,697.0,2020-07-18,普通
